,ID,NAME
0,ECOEAJPNRNANG022000,거주자소비지출(일본_명목_SAAR)
1,ECOEAKORREAIP011000,광공업생산총지수
2,ECOEAKORREAIP030000,광공업제품출하총지수(SA)
3,ECOEEITARLWUE002000,실업률(SA)[이탈리아]
4,ECOENUSARLWEM002000,신규실업보험청구자수NSA[미국]
5,ECOESBRARGVBP018000,기타투자[브라질]
6,ECOESBRARNARG030000,수출
7,ECOEWFRAREAOL001000,OECD 경기선행지수[브라질]
8,ECOEWLUXRTDIM009000,수입[룩셈부르크]
9,ECOEAJPNRNARG013000,국내총소득[일본](NSA)
10,ECOEAKORRCICI023000,상용근로자수(천명)(후행)
11,ECOEEFINRFDER001000,외환보유액[핀란드](금제외)
12,ECOEWGBRRPCRP001000,소매가지수[영국]
13,ECOEWPRTRPCPP001000,생산자물가[포르투갈]
14,ECOEAJPNRNANG029000,재화와서비스의수출(일본_명목_SAAR)
15,ECOEAKORREAIP087000,제조업평균가동률지수(원지수)
16,ECOESBRARNARG021000,기타서비스
17,ECOEAKORREAIP085000,제조업내수출하지수(원지수)
18,ECOEWCHERLWUE001000,실업률[스위스_NSA]
19,ECOEWESPRTDTB009000,무역수지[스페인]
20,ECOEACHNRPSRS002000,소매판매 증가율[중국]
21,ECOEAINDRCMOS001000,석유생산량[인도]
22,ECOEAJPNRNARG016000,대외지출[일본](NSA)
23,ECOEAKORRTDBP002000,상품수지
24,ECOEECYPRPCCP002000,물가상승율[키프로스]
25,ECOEEGRCRPCCP001000,소비자물가[그리스]
26,ECOEWPRTREAIP001000,산업생산[포르투갈]
27,ECOEAJPNRNARG010000,재화와서비스의수출입[일본](NSA)
28,ECOEAKORRNARU002000,최종소비지출(실질)
29,ECOEAVNMRTDIM009000,수입[베트남]
30,ECOEEAUTRLWUE001000,실업률[오스트리아_NSA]
31,ECOEECYPRGVRC020000,중앙정부 재정수지(GDP 대비)[키프로스]
32,ECOENUSARCICI004000,경기동행지수전월비(%)[미국]
33,ECOENUSARPCPP002000,PPI(원지수)[미국]
34,ECOESBRARDGPT010000,40-44세
35,ECOEWIRLRLWUE002000,실업률(SA)[아일랜드]
36,ECOEZEUZRCSCC003000,건설업신뢰지수(EURO17개국)
37,ECOEACHNFLWUE001000,중국-연간 실업률
38,ECOEAJPNRNANG032000,대외소득(일본_명목_SAAR)
39,ECOEAKORRPCPP002000,상품지수(총지수)
40,ECOENUSARPSEN005000,개인가처분소득[미국]
41,ECOEOAUSRTDEX009000,수출[호주]
42,ECOESBRARGVBP003000,상품수출[브라질]
43,ECOEWGBRRTDTB009000,무역수지[영국]
44,ECOEWLUXRTDBT001000,무역수지[룩셈부르크]
45,ECOEACHNRCQBK001000,신규대출[중국]
46,ECOEACHNRNAGG001000,실질GDP성장률[중국]
47,ECOEAKORREAIP095000,소매판매액총지수(불변)
48,ECOEAKORREAIP112000,설비투자총지수(불변)
49,ECOENUSARCMPS011000,Baker Hughes 석유시추회수 월간합계
50,ECOEONZLRPCPP001000,생산자물가[뉴질랜드]
51,ECOESBRARDGPT011000,45-49세
52,ECOESBRARGVBP017000,파생금융상품[브라질]
53,ECOESBRARNARG017000,상업
54,ECOESBRARTDEX011000,수출국(독일)
55,ECOEWLUXREAIP001000,산업생산[룩셈부르크]
56,ECOEWNLDRFDER001000,외환보유액(금제외)
57,ECOEAIDNRCMOS001000,석유생산량[인도네시아]
58,ECOEAIDNRTDEX009000,수출[인도네시아]
59,ECOEAKORRCICI021000,도시가계소비지출(실질)(천원)(후행)
60,ECOEAKORRLWUE001000,실업률[한국]
61,ECOEAKORRNAGG002000,GDP증가율
62,ECOEEITARNARG001000,실질GDP[이탈리아]
63,ECOENUSARPSRS002000,소매매출(자동차업제외)[미국]
64,ECOEOAUSRPCCP001000,소비자물가[오스트레일리아]
65,ECOEOAUSRPCPP001000,생산자물가[호주]
66,ECOEONZLREAIP001000,산업생산[뉴질랜드]
67,ECOEONZLRLWUE001000,실업률[뉴질랜드_NSA]
68,ECOESBRAREAIP002000,"산업생산[브라질, NSA]"
69,ECOEWLUXRFDER001000,외환보유액[룩셈부르크](금제외)
70,ECOEZEUZRLWUE001000,실업률[Euro-Zone_SA]
71,ECOEAINDRTDEX009000,수출[인도]
72,ECOEAJPNRNANG037000,공공수요(일본_명목_SAAR)
73,ECOEAJPNRNARG030000,재화와서비스의수출입[일본](SAAR)
74,ECOEAKORRCICI006000,수출입물가비율(2005=100)(선)
75,ECOEAKORRCICI022000,소비재수입액(실질)(백만불)(후행)
76,ECOEAKORRNARU037000,국외순수취요소소득(실질)
77,ECOEAMYSRLWUE001000,실업률[말레이시아]
78,ECOENUSAREAIP009000,반도체장비판매[미국]
79,ECOENUSARLWUE002000,실업률[미국_SA]
80,ECOEWNLDRTDIM009000,수입[네덜란드]
81,ECOEACHNREAPM001000,제조업 PMI[중국]
82,ECOEAHKGRLWUE001000,실업률(SA)[홍콩]
83,ECOEAKORRPCCP002000,월별 소비자물가등락률(전년비)
84,ECOEEITARFDER001000,외환보유액(금제외)
85,ECOENUSARCMPS010000,Baker Hughes 석유시추회수 주간합계
86,ECOENUSARHSHC002000,건축허가건수[미국]
87,ECOEOAUSRCMOS001000,석유생산량[호주]
88,ECOEAJPNRNANG012000,대외거래순손익(일본_명목_NSA)
89,ECOEAKORRCICI007000,국제원자재가격지수(역계열)(2005=100)
90,ECOEAKORRCICI028000,동행지수 순환변동치 전월차(p)
91,ECOEAKORREAIP008000,서비스업생산지수(SA)
92,ECOEAKORREAIP055000,제조업생산출하-제조업(SA)
93,ECOEATHARTDBT001000,무역수지[태국]
94,ECOEEGRCRTDBT001000,무역수지[그리스]
95,ECOEWGBRRPCPP001000,생산자물가(산출물가)
96,ECOEAJPNRNARG028000,공공투자[일본](SAAR)
97,ECOEAKORREAIP092000,생산자제품출하지수(원지수)
98,ECOEAKORRLWUE007000,경제활동참가율[구직기간4주]
99,ECOEAMYSRNARG001000,GDP[말레이시아]
100,ECOEATHARPCPP001000,생산자물가[태국]
101,ECOENUSARLWEM003000,연속실업보험청구자수SA[미국]
102,ECOENUSARPCCP003000,CoreCPI(원지수)[미국]
103,ECOESBRARTDIM017000,수입국(일본)
104,ECOEWFRARNARG001000,실질GDP[프랑스]
105,ECOEAJPNRNARG026000,개인재고[일본](SAAR)
106,ECOEAKORRCICI008000,구인구직비율(%)(선행)
107,ECOEAKORRLWEM026000,"노동생산성지수(산업생산기준, 서비스업)"
108,ECOEAKORRTDBT003000,무역수지
109,ECOEATHARTDEX009000,수출[태국]
110,ECOESBRARNARG020000,금융중개 및 관련산업
111,ECOESBRARNARG038000,수출
112,ECOEWNLDRPCPP002000,생산자물가(산업재)[네덜란드]
113,ECOEACHNRLWUE001000,실업률[중국]
114,ECOEAKORRCICI013000,서비스업생산지수(도소매업제외)(2015=100)(동행)
115,ECOEAKORREAIP084000,수출출하총지수(원지수)
116,ECOEAKORRNARU026000,정보통신업(실질)
117,ECOEEFINRTDTB009000,무역수지[핀란드]
118,ECOENUSARCMPS001000,주간 원유재고
119,ECOEOAUSRTDIM009000,수입[호주]
120,ECOESBRARTDEX014000,수출국(미국)
121,ECOEWIRLRTDTB009000,무역수지[아일랜드]
122,ECOEZEUZRGVBP005000,이전소득수지
123,ECOEAJPNRNANG031000,대외거래순손익(일본_명목_SAAR)
124,ECOEEGRCRPCCP001,
125,ECOEFZAFRNAGG002000,GDP(SAAR)[남아공]
126,ECOENUSARREBK012000,심각한회수불량율(90일이상연체혹은조기집행회수)
127,ECOESBRARGVBP011000,이전소득수지
128,ECOEWCHERTDEX009000,수출[스위스]
129,ECOEACHNREAIP001000,산업생산 증가율[중국]
130,ECOEAJPNRLWUE003000,실업자[일본]
131,ECOENCANRCMOS001000,석유생산량[캐나다]
132,ECOENUSARREBK009000,모기지연체율(60-89일연체_NSA)
133,ECOESBRARGVRC001000,세금총액
134,ECOESBRARNARG029000,무역수지
135,ECOESBRARPCCP008000,교통
136,ECOEWCHERTDTB009000,무역수지[스위스]
137,ECOEWFRARTDEX009000,수출[프랑스]
138,ECOEWGBRRTDEX009000,수출[영국]
139,ECOFAKORRFDER001000,달러원(USDKRW)
