DATA_DATE,IND_TP_CD,DATA_DATE,IDX_OPPR,IDX_HIPR,IDX_LOPR,IDX_CLPR,IDX_YDAY_CMPR_AMT,YDAY_CMPR_SECT,VOLM,TR_AMT,STK_CNT,AVLS,CAP_AMT1,FRMN_HOLD_STK_CNT,FRMN_HOLD_AVLS,MRTR_ITEM_CNT,CRDT_ENBL_ITEM_VOLM,CRDT_DATA_DATE,LEND_NEW_STKQ,LEND_NEW_AMT,LEND_RMBR_STKQ,LEND_RMBR_AMT,LEND_BALAN_STKQ,LEND_BALAN_AMT,STLOAN_RMBR_AMT,STLOAN_RMBR_STKQ,STLOAN_NEW_AMT,STLOAN_NEW_STKQ,STLOAN_BALAN_AMT,STLOAN_BALAN_STKQ,FRWDELVY_MTR_QTY,FRWDELVY_STK_AVG_PRC,RISE_ITEM_VOLM,DPRICE_ITEM_VOLM,FACE_ADJ_VOLM,SAME_FACE_STK_CNT,CLPR_AVG,ALL_ITEM_CNT,CO_CNT,TR_TYPE_TYPE_ITEM_CNT,RISE_ITEM_CNT,DPRICE_ITEM_CNT,STNR_ITEM_CNT,TOP_ITEM_CNT,BTM_ITEM_CNT,YYW_MXPR_ITEM_CNT,YYW_MNPR_ITEM_CNT,D25_EMA_EXCD_ITEM_CNT,D25_EMA_FLSH_ITEM_CNT,W52_NEW_HIPR_ITEM_CNT,W52_NEW_LOPR_ITEM_CNT,DVID_YIRT,일별상승종목비율,일별하락종목비율,일별보합종목비율,일별상한가종목비율,일별하한가종목비율,외국인보유비율,연중최고가종목비율,연중최저가종목비율,25일이평상회종목비율,25일이평하회종목비율,52주신고가종목비율,52주신저가종목비율
2000-12-01,10001,2000-12-01,490.88,514.46,489.53,514.46,5.23,1,329920500,1558855,19476948,189216301,84168784,0,0,756,240636712,20001129,2150640,535204,2192777,501362,62364567,16272896,0,0,0,0,7600,5323,182333060,1829,165480439,155113972,282622737,16683697,9326,910,706,866,320,485,64,19,9,0,0,30,69,1,120,0,36.95150115,56.00461894,7.390300231,2.193995381,1.03926097,0,0,0,3.464203233,7.967667436,0.115473441,13.85681293
2000-12-04,10001,2000-12-04,520.14,520.52,499.72,501.73,12.73,5,267606600,1372502,19474474,184763341,84132110,0,0,756,373928289,20001130,1511680,350707,2623870,685042,61252377,15924557,0,0,0,0,7600,5323,116724100,2802,68550651,191807285,216674070,16676362,9183,910,706,867,251,569,49,29,11,0,0,34,65,1,34,0,28.95040369,65.62860438,5.651672434,3.344867359,1.268742791,0,0,0,3.921568627,7.497116494,0.115340254,3.921568627
2000-12-05,10001,2000-12-05,505.1,516.97,502.94,516.96,15.23,1,257240900,1258890,19477797,190067921,84133785,0,0,756,288921134,20001201,1648650,310304,1967841,599542,60933186,15632167,0,0,0,0,7600,5323,115668690,1591,196505751,55049781,212701942,16676697,9264,910,706,863,509,290,64,32,7,0,0,40,59,0,44,0,58.98030127,33.603708,7.41599073,3.707995365,0.811123986,0,0,0,4.634994206,6.836616454,0,5.098493627
2000-12-06,10001,2000-12-06,535.19,540.63,517.87,517.89,0.93,1,391918800,2170397,19481263,190443854,84136448,0,0,756,307712268,20001204,2601960,602328,3188270,1085793,60346876,15145870,0,0,0,0,7600,5323,179507650,2429,112466573,266394284,333324659,16677230,9246,910,706,864,371,418,76,22,10,0,0,32,67,2,18,0,42.93981481,48.37962963,8.796296296,2.546296296,1.157407407,0,0,0,3.703703704,7.75462963,0.231481481,2.083333333
2000-12-07,10001,2000-12-07,517.48,523.78,510.86,523.78,5.89,1,300980000,1314941,19484258,192497414,84140389,0,0,754,372486744,20001205,1646700,373516,1720549,453673,60231897,15049627,0,0,0,0,7600,5323,148911760,2387,108877559,175763135,262933932,16678018,9252,910,706,860,330,454,77,23,11,0,0,28,71,2,46,0,38.37209302,52.79069767,8.953488372,2.674418605,1.279069767,0,0,0,3.255813953,8.255813953,0.23255814,5.348837209
2000-12-08,10001,2000-12-08,523.4,535.47,523.4,534.81,11.03,1,321364200,1359600,19542484,196357210,84431510,0,0,754,309260792,20001206,2371150,646725,1718114,461814,60886933,15234861,0,0,0,0,7600,5323,158432780,2261,193767177,50963320,279519388,16736242,9387,910,706,863,515,277,72,36,10,0,0,28,71,2,27,0,59.67555041,32.09733488,8.342989571,4.171494786,1.158748552,0,0,0,3.244495944,8.227114716,0.23174971,3.128621089
2000-12-11,10001,2000-12-11,543.46,557.79,543.46,554.8,19.99,1,388717000,1902500,19542679,203295039,84432485,0,0,747,291003660,20001207,2459900,587997,2224900,732531,61121933,15088199,0,0,0,0,7600,5323,186039280,1840,263254516,38567488,323893186,16736437,9536,910,706,860,555,243,63,44,5,0,0,30,69,3,8,0,64.53488372,28.25581395,7.325581395,5.11627907,0.581395349,0,0,0,3.488372093,8.023255814,0.348837209,0.930232558
2000-12-12,10001,2000-12-12,556.22,558.5,541.99,543.08,11.72,5,320886200,1663919,19562623,199276504,84531988,0,0,747,276282523,20001208,2188980,451374,2145756,650892,61165157,14882137,0,0,0,0,7600,5323,149777030,1824,61265640,233111442,267566966,16756338,9503,908,705,861,344,452,67,52,9,0,0,31,68,1,9,0,39.95354239,52.4970964,7.781649245,6.039488966,1.045296167,0,0,0,3.600464576,7.897793264,0.116144019,1.045296167
2000-12-13,10001,2000-12-13,540.35,560.16,539.51,557.84,14.76,1,302753800,1916032,19596925,204310647,84701803,0,0,747,280670071,20001211,2344700,577133,2072650,621704,61437207,14832273,0,0,0,0,7600,5323,118022980,3317,151816920,139555860,250892670,16790301,9634,908,705,857,468,326,66,50,14,0,0,36,62,4,12,0,54.60910152,38.03967328,7.701283547,5.834305718,1.633605601,0,0,0,4.200700117,7.23453909,0.466744457,1.400233372
2000-12-14,10001,2000-12-14,548.14,554.89,540.73,547.38,10.46,5,298434100,1914904,19530852,200502403,84371438,0,0,747,237250548,20001212,3318340,795640,2400490,599843,62318167,15006383,0,0,0,0,7600,5323,90463020,4291,149832085,137051138,235711195,16724228,9683,902,705,859,451,357,54,46,5,0,0,36,63,3,9,0,52.50291036,41.55995343,6.286379511,5.355064028,0.582072177,0,0,0,4.190919674,7.33410943,0.349243306,1.047729919
2000-12-15,10001,2000-12-15,544.53,551.29,533.65,534,13.38,5,297847100,1667623,19531579,195864522,84372526,0,0,747,276683141,20001213,3116950,725555,1856940,591483,63578177,15136938,0,0,0,0,7600,5323,101405300,1867,74256273,204718188,243023276,16724445,9530,902,705,860,259,551,51,29,20,0,0,32,67,4,12,0,30.11627907,64.06976744,5.930232558,3.372093023,2.325581395,0,0,0,3.720930233,7.790697674,0.465116279,1.395348837
2000-12-18,10001,2000-12-18,529.37,541.78,529.37,539.27,5.27,1,251260100,1355266,19530622,197752166,84367741,0,0,747,287449612,20001214,1722560,419257,3192260,850603,62108477,14696919,0,0,0,0,7600,5323,81943930,3073,94150784,145949589,200324276,16723488,9664,902,705,854,420,395,43,49,13,0,0,40,59,5,21,0,49.18032787,46.2529274,5.035128806,5.737704918,1.522248244,0,0,0,4.683840749,6.908665105,0.585480094,2.459016393
2000-12-19,10001,2000-12-19,541.23,541.25,530.18,530.8,8.47,5,290170800,1587946,19531148,194737966,84370370,0,0,747,276102103,20001215,2484160,567947,3577087,902512,61015550,14360655,0,0,0,0,7600,5323,80518630,2368,76614715,207480284,228271593,16724014,9578,902,705,854,244,572,38,41,30,0,0,32,67,4,35,0,28.57142857,66.97892272,4.449648712,4.800936768,3.512880562,0,0,0,3.7470726,7.845433255,0.468384075,4.098360656
2000-12-20,10001,2000-12-20,517.37,525.79,513.24,514.21,16.59,5,304295300,1581490,19539688,189094652,84413072,0,0,747,321100527,20001218,2021413,506921,3130040,880463,59906923,13978582,0,0,0,0,7600,5323,105046760,1653,61811450,236443632,246062162,16732555,9167,902,705,855,126,705,24,31,71,0,0,24,75,6,97,0,14.73684211,82.45614035,2.807017544,3.625730994,8.304093567,0,0,0,2.807017544,8.771929825,0.701754386,11.34502924
2000-12-21,10001,2000-12-21,498.6,515.76,497.31,511.9,2.31,5,290298000,1665566,19617903,188450153,84804146,0,0,746,236073177,20001219,2208450,594820,2787930,766438,59245619,13794430,0,0,0,0,7600,5323,107398830,2786,110192971,175630762,243551811,16810770,8991,903,705,857,234,582,41,28,51,0,0,21,78,2,168,0,27.30455076,67.91131855,4.784130688,3.267211202,5.950991832,0,0,0,2.450408401,9.101516919,0.233372229,19.60326721
